product_name,image_url
 fitted bodice dress,images/dress1.jpg
baggy jeans,images/dress2.jpg
floral dress,images/dress3.jpg
spring dress,images/dress4.jpg
silk skirt,images/dress5.jpg
party dress,images/dress6.jpeg
intricate schiffli pattern,images/dress7.jpg
officewear,images/dress8.jpg
office style,images/dress9.jpg
office outfit,images/dress8.jpg
mini dress,images/dress10.jpg
floral organza,images/dress11.jpg
long dresses,images/dress12.jpg
long black dress,images/dress12.jpg
hot dress,images/dress13.jpg
fancytop,images/dress13.jpg
 floaty rayon tiers,images/dress14.jpg
bohoskirts,images/dress15.jpg
croptop,images/dress16.jpg
boho chic,images/dress17.jpg
black dress,images/dress18.jpeg
vintage clothing,images/dress19.jpeg
denim jacket,images/dress20.jpeg
indigo  jacket,images/dress21.jpeg
 Burgundy Top,images/dress22.jpeg
Black Skirt ,images/dress23.jpeg
Slit Skirt ,images/dress24.jpeg
Mini Skirt,images/dress25.jpeg
side slit skirts,images/dress24.jpeg
cowl neck tops,images/dress26.jpeg
halter necks tops,images/dress27.jpeg
high street fashion,images/dress28.jpeg
beige floral print chanderi silk skirt,images/dress29.jpeg
 lucknowi chikankari kurti,images/dress30.jpeg
plaid pleated wool skirt,images/dress1.jpg
full sleeve twist crop shirt,images/dress1.jpg
 pink crop top,images/dress1.jpg
blue formal side zip pant,images/dress1.jpg
white polyester solid crop top,images/dress1.jpg
polyester solid crop top,images/dress1.jpg
off shoulder bright yellow top,images/dress1.jpg
white solid crop top,images/dress1.jpg
basic white tank top,images/dress1.jpg
crop top,images/dress1.jpg
neck white crop top,images/dress1.jpg
chikankari anarkali kurta set,images/dress1.jpg
denim jacket,images/dress1.jpg
cowl neck tops,images/dress1.jpg
neck crop top,images/dress1.jpg
skinny jeans ,images/dress1.jpg
 chikan kurta,images/dress1.jpg
short plaid skirt,images/dress1.jpg
ring midi skirt,images/dress1.jpg
sleeved crop top,images/dress1.jpg
 palazzo,images/dress1.jpg
pencil slit skirt,images/dress1.jpg
turquoise kurta set,images/dress1.jpg
cami tops,images/dress1.jpg
embroidered kurta,images/dress1.jpg
flared fit,images/dress1.jpg
sheer chikankari kurtas,images/dress1.jpg
white shirt,images/dress1.jpg
flared pant,images/dress1.jpg
fit casual pants,images/dress1.jpg
blue floral shirt,images/dress1.jpg
cargo pants,images/dress1.jpg
 graphic tee,images/dress1.jpg
black shorts,images/dress1.jpg
bucket hat,images/dress1.jpg
black sports bra,images/dress1.jpg
green corduroy cargo pants,images/dress1.jpg
camel blazer,images/dress1.jpg
Ivory Blazer,images/dress1.jpg
oversized T-shirts,images/dress1.jpg
Ruffle Shirt,images/dress1.jpg
denim shorts,images/dress1.jpg
ethnic skirts,images/dress1.jpg
straight leg jeans,images/dress1.jpg
fit jeans,images/dress1.jpg
denim jeans,images/dress1.jpg
cowl necklines,images/dress1.jpg
high socks,images/dress1.jpg
waisted pants,images/dress1.jpg
ordinated pants,images/dress1.jpg
maxi skirt,images/dress1.jpg
flowing skirt,images/dress1.jpg
tube tops,images/dress1.jpg
collared tops,images/dress1.jpg
short sleeves,images/dress1.jpg
puff sleeves,images/dress1.jpg
bishop sleeves,images/dress1.jpg
barbie pink,images/dress1.jpg
stretchy material,images/dress1.jpg
long kurtas,images/dress1.jpg
skinny jeans,images/dress1.jpg
fitted trousers,images/dress1.jpg
waisted skirts,images/dress1.jpg
colourful dupattas,images/dress1.jpg
waisted jeans,images/dress1.jpg
mom jeans,images/dress1.jpg
leg jeans,images/dress1.jpg
V-neck jumpsuit ,images/dress1.jpg
wide legged jumpsuit,images/dress1.jpg
casual jumpsuits,images/dress1.jpg
black jumpsuit,images/dress1.jpg
 v-neck corset,images/dress1.jpg
,images/dress1.jpg
